Inventory Date,ItemCode,Branch,Demand
1/7/2018,94,Seattle F&S,24
1/7/2018,234,Baltimore F&S,128
1/7/2018,234,Edmonton F&S,311
1/7/2018,234,Fontana,12538
1/7/2018,234,Great Lakes CC,2251
1/7/2018,234,Houston F&S,1269
1/7/2018,234,Montreal F&S,676
1/7/2018,234,Sacramento Main,2012
1/7/2018,234,Seattle F&S,4474
1/7/2018,234,Tampa F&S,2425
1/7/2018,234,Toronto F&S,1124
1/7/2018,122,Toronto F&S,877
1/7/2018,140,Fontana,30
1/7/2018,238,Baltimore F&S,2442
1/7/2018,238,Edmonton F&S,928
1/7/2018,238,Fontana,10087
1/7/2018,238,Great Lakes CC,2380
1/7/2018,238,Houston F&S,509
1/7/2018,69,Toronto F&S,66
1/7/2018,238,Montreal F&S,4212
1/7/2018,238,Sacramento Main,1936
1/7/2018,238,Seattle F&S,16049
1/7/2018,238,Tampa F&S,8040
1/7/2018,238,Toronto F&S,4500
1/7/2018,238,Vancouver F&S,1926
1/7/2018,239,Atlanta F&S,16017
1/7/2018,239,Baltimore F&S,26105
1/7/2018,239,Edmonton F&S,5793
1/7/2018,239,Fontana,10215
1/7/2018,239,Great Lakes CC,2035
1/7/2018,239,Houston F&S,4596
1/7/2018,239,Montreal F&S,2405
1/7/2018,239,Sacramento Main,713
1/7/2018,239,Seattle F&S,4503
1/7/2018,239,Tampa F&S,22675
1/7/2018,239,Toronto F&S,2426
1/7/2018,239,Vancouver F&S,8916
1/7/2018,85,Sacramento Main,7
1/7/2018,71,Montreal F&S,171
1/7/2018,55,Fontana,4
1/7/2018,245,Fontana,347
1/7/2018,245,Great Lakes CC,173
1/7/2018,111,Vancouver F&S,130
1/7/2018,189,Seattle F&S,763
1/7/2018,57,Toronto F&S,167
1/7/2018,245,Toronto F&S,149
1/7/2018,245,Toronto F&S,149
1/7/2018,69,Seattle F&S,211
1/7/2018,250,Tampa F&S,232
1/7/2018,222,Tampa F&S,248
1/7/2018,164,Toronto F&S,115
1/7/2018,257,Montreal F&S,228
1/7/2018,14,Houston F&S,1168
1/7/2018,257,Vancouver F&S,1666
1/7/2018,258,Montreal F&S,344
1/7/2018,258,Toronto F&S,6961
1/7/2018,258,Vancouver F&S,2270
1/7/2018,259,Montreal F&S,435
1/7/2018,259,Toronto F&S,3744
1/7/2018,126,Seattle F&S,1134
1/7/2018,261,Montreal F&S,1219
1/7/2018,261,Toronto F&S,29880
1/7/2018,261,Vancouver F&S,4963
1/7/2018,263,Montreal F&S,1500
1/7/2018,263,Toronto F&S,18739
1/7/2018,263,Vancouver F&S,287
1/7/2018,265,Atlanta F&S,99
1/7/2018,265,Baltimore F&S,808
1/7/2018,56,Toronto F&S,180
1/7/2018,265,Great Lakes CC,778
