Branch,ItemCode,Week 1,Week 2,Week 3,Week 4,Monthly Demand
Fontana,10777,2630.0,2303.0,2303.0,2303.0,-327.0
Sacramento Main,10777,1378.0,1217.0,1081.0,986.0,-392.0
Seattle F&S,10777,778.0,745.0,774.0,828.0,50.0
Tampa F&S,10777,1077.0,1076.0,635.0,635.0,-442.0
Toronto F&S,10795,42.0,42.0,44.0,42.0,0.0
Toronto F&S,10796,10.0,10.0,10.0,10.0,0.0
Tampa F&S,10797,5.0,5.0,5.0,0.0,-5.0
Sacramento Main,10798,10.0,10.0,10.0,10.0,0.0
Seattle F&S,10798,1.0,1.0,1.0,1.0,0.0
Baltimore F&S,108,209.0,291.0,290.0,290.0,81.0
Fontana,108,109.0,107.0,107.0,98.0,-11.0
Houston F&S,108,2.0,2.0,2.0,2.0,0.0
Montreal F&S,108,14.0,14.0,13.0,13.0,-1.0
Seattle F&S,108,6.0,5.0,5.0,5.0,-1.0
Great Lakes CC,10827,12.0,12.0,12.0,12.0,0.0
Great Lakes CC,10828,21.0,21.0,21.0,21.0,0.0
Atlanta F&S,10829,1240.0,1240.0,1236.0,1236.0,-4.0
Fontana,10829,600.0,600.0,600.0,600.0,0.0
Sacramento Main,10829,869.0,869.0,797.0,699.0,-170.0
Seattle F&S,10829,767.0,734.0,763.0,808.0,41.0
Tampa F&S,10829,297.0,296.0,296.0,296.0,-1.0
Baltimore F&S,10830,25.0,25.0,25.0,25.0,0.0
