InventoryDate,ItemCode,Branch,InventoryQuantity
1/7/2018,544,Atlanta F&S,3
1/7/2018,546,Atlanta F&S,15
1/7/2018,548480,Atlanta F&S,1
1/7/2018,55,Atlanta F&S,8
1/7/2018,56,Atlanta F&S,11
1/7/2018,562,Atlanta F&S,141
1/7/2018,563,Atlanta F&S,5
1/7/2018,564,Atlanta F&S,35
1/7/2018,566,Atlanta F&S,14
1/7/2018,567,Atlanta F&S,66
1/7/2018,568,Atlanta F&S,10
1/7/2018,569,Atlanta F&S,399
1/7/2018,57,Atlanta F&S,122
1/7/2018,570,Atlanta F&S,891
1/7/2018,571,Atlanta F&S,1252
1/7/2018,572,Atlanta F&S,465
1/7/2018,573,Atlanta F&S,1029
1/7/2018,574,Atlanta F&S,593
1/7/2018,575,Atlanta F&S,50
1/7/2018,576,Atlanta F&S,132
1/7/2018,5764,Atlanta F&S,489
1/7/2018,577,Atlanta F&S,427
1/7/2018,578,Atlanta F&S,487
1/7/2018,579,Atlanta F&S,198
1/7/2018,58,Atlanta F&S,40
1/7/2018,580,Atlanta F&S,378
1/7/2018,581,Atlanta F&S,545
1/7/2018,5824,Atlanta F&S,99
1/7/2018,583,Atlanta F&S,373
1/7/2018,585,Atlanta F&S,387
1/7/2018,587,Atlanta F&S,241
1/7/2018,589,Atlanta F&S,201
1/7/2018,59,Atlanta F&S,32
1/7/2018,590,Atlanta F&S,102
1/7/2018,5901,Atlanta F&S,2
1/7/2018,5902,Atlanta F&S,3
1/7/2018,5906,Atlanta F&S,221
1/7/2018,5907,Atlanta F&S,129
1/7/2018,591,Atlanta F&S,589
1/7/2018,592,Atlanta F&S,444
1/7/2018,593,Atlanta F&S,914
1/7/2018,594,Atlanta F&S,1601
1/7/2018,595,Atlanta F&S,1667
1/7/2018,597,Atlanta F&S,1328
1/7/2018,599,Atlanta F&S,2271
1/7/2018,5X9,Atlanta F&S,115
1/7/2018,601,Atlanta F&S,706
1/7/2018,6024,Atlanta F&S,52
1/7/2018,603,Atlanta F&S,369
1/7/2018,605,Atlanta F&S,325
1/7/2018,6071,Atlanta F&S,3
1/7/2018,609,Atlanta F&S,191
1/7/2018,610,Atlanta F&S,306
1/7/2018,611,Atlanta F&S,125
1/7/2018,612,Atlanta F&S,451
1/7/2018,6121,Atlanta F&S,20
1/7/2018,613,Atlanta F&S,469
1/7/2018,614,Atlanta F&S,582
1/7/2018,615,Atlanta F&S,410
1/7/2018,616,Atlanta F&S,738
1/7/2018,6161,Atlanta F&S,2800
1/7/2018,617,Atlanta F&S,620
1/7/2018,618,Atlanta F&S,571
1/7/2018,619,Atlanta F&S,498
1/7/2018,62,Atlanta F&S,773
1/7/2018,620,Atlanta F&S,910
1/7/2018,621,Atlanta F&S,301
1/7/2018,622,Atlanta F&S,738
1/7/2018,623,Atlanta F&S,490
1/7/2018,624,Atlanta F&S,337
1/7/2018,625,Atlanta F&S,340
1/7/2018,626,Atlanta F&S,689
1/7/2018,627,Atlanta F&S,1025
1/7/2018,628,Atlanta F&S,2114
1/7/2018,6283,Atlanta F&S,1
1/7/2018,6288,Atlanta F&S,3
1/7/2018,629,Atlanta F&S,2064
1/7/2018,6290,Atlanta F&S,4
1/7/2018,6291,Atlanta F&S,15
1/7/2018,6293,Atlanta F&S,170
1/7/2018,6298,Atlanta F&S,23
1/7/2018,63,Atlanta F&S,857
1/7/2018,630,Atlanta F&S,1477
1/7/2018,6301,Atlanta F&S,5
1/7/2018,631,Atlanta F&S,1869
1/7/2018,6311,Atlanta F&S,24
1/7/2018,6313,Atlanta F&S,16
1/7/2018,632,Atlanta F&S,3765
1/7/2018,6320,Atlanta F&S,3
1/7/2018,633,Atlanta F&S,1534
1/7/2018,6332,Atlanta F&S,7
1/7/2018,6333,Atlanta F&S,13
1/7/2018,6335,Atlanta F&S,10
1/7/2018,6336,Atlanta F&S,13
1/7/2018,634,Atlanta F&S,758
1/7/2018,6341,Atlanta F&S,232
1/7/2018,635,Atlanta F&S,527
1/7/2018,6356,Atlanta F&S,188
1/7/2018,6357,Atlanta F&S,220
1/7/2018,6358,Atlanta F&S,150
1/7/2018,636,Atlanta F&S,494
1/7/2018,637,Atlanta F&S,291
1/7/2018,638,Atlanta F&S,140
1/7/2018,639,Atlanta F&S,112
1/7/2018,640,Atlanta F&S,45
