ItemCode,Branch,InventoryQuantity
10276,USD Region Offices,54
10277,Sacramento Main,4
10278,USD Region Offices,36
10279,Seattle F&S,29
10279,USD Region Offices,52
10280,Sacramento Main,4
10280,Seattle F&S,15
10281,USD Region Offices,20
10283,Seattle F&S,42
10284,Sacramento Main,13
10284,USD Region Offices,8
10285,Sacramento Main,6
10285,USD Region Offices,4
10294,USD Region Offices,384
10295,USD Region Offices,1644
10296,USD Region Offices,1930
10297,Sacramento Main,25
10297,USD Region Offices,8
10298,Fontana,43
10298,Seattle F&S,6
10299,USD Region Offices,2
103,Atlanta F&S,292
103,Toronto F&S,10
10300,USD Region Offices,728
10301,USD Region Offices,102
10302,Fontana,7
10302,Seattle F&S,118
10303,USD Region Offices,48
10304,USD Region Offices,72
10305,Fontana,2
10306,Fontana,4
10306,USD Region Offices,4
10307,Fontana,1
10307,USD Region Offices,10
10313,USD Region Offices,28
10316,Sacramento Main,8
10316,USD Region Offices,16
10317,USD Region Offices,2
10319,Sacramento Main,8
10319,USD Region Offices,50
10320,USD Region Offices,8
10324,USD Region Offices,8
10325,USD Region Offices,2
10326,Fontana,8
10326,USD Region Offices,22
10327,USD Region Offices,14
10328,USD Region Offices,44
10329,USD Region Offices,12
10330,Fontana,1
10331,USD Region Offices,124
10332,USD Region Offices,22
10333,USD Region Offices,112
10335,USD Region Offices,56
10336,USD Region Offices,4
10338,Atlanta F&S,75
10338,Tampa F&S,20
10345,Houston F&S,4
10345,Toronto F&S,8
10346,Toronto F&S,20
10346,USD Region Offices,38
10348,USD Region Offices,228
1034800,Houston F&S,2814
10380,Edmonton F&S,78
10380,Tampa F&S,64
10380,Toronto F&S,1143
10386,Montreal F&S,148
10386,Toronto F&S,1588
10386,Vancouver F&S,149
10387,Baltimore F&S,20
10387,Montreal F&S,42
10387,Toronto F&S,74
10390,Toronto F&S,2334
10391,USD Region Offices,1004
10392,USD Region Offices,998
10396,Sacramento Main,6
10396,USD Region Offices,28
104,Atlanta F&S,1
104,Toronto F&S,46
10400,Seattle F&S,270
10401,Houston F&S,14
10402,Great Lakes CC,14
10403,Baltimore F&S,2
10403,USD Region Offices,2
10405,Montreal F&S,50
10405,Toronto F&S,372
10410,Toronto F&S,8
10417,Seattle F&S,40
10417,USD Region Offices,8
10419,Fontana,24
10419,Seattle F&S,77
10420,Seattle F&S,32
10424,Tampa F&S,50
10425,Atlanta F&S,150
10425,Tampa F&S,200
10426,Tampa F&S,20
10427,Atlanta F&S,100
10427,Tampa F&S,150
1043,Toronto F&S,11
10430,Atlanta F&S,150
10430,Tampa F&S,20
10431,Atlanta F&S,200
10432,Tampa F&S,100
10435,Tampa F&S,150
10438,Tampa F&S,300
10438,USD Region Offices,200
10450,Fontana,500
10450,Great Lakes CC,200
10450,Montreal F&S,75
10450,Toronto F&S,1435
10450,USD Region Offices,2400
10452,Montreal F&S,12
10452,Toronto F&S,33
10453,Seattle F&S,88
10453,Toronto F&S,2
10493,Toronto F&S,1900
10494,Tampa F&S,59
10495,Tampa F&S,176
10498,Fontana,1089
10498,Toronto F&S,3416
10498,USD Region Offices,1848
105,Atlanta F&S,34
105,Edmonton F&S,5
105,Toronto F&S,126
106,Toronto F&S,186
106,USD Region Offices,1264
106,Vancouver F&S,29
10600,Toronto F&S,76
10600,USD Region Offices,96
10605,Fontana,764
10605,Seattle F&S,144
10607,Fontana,114
10608,Fontana,956
10608,Linden,1361
10611,Linden,6
10616,Montreal F&S,155
10616,Toronto F&S,1390
10620,Houston F&S,168
10620,Montreal F&S,1
10620,Toronto F&S,113
10621,Atlanta F&S,3
10621,Edmonton F&S,2
10621,Fontana,6
10621,Great Lakes CC,3
10621,Houston F&S,40
10621,Sacramento Main,1
10621,Tampa F&S,378
10621,Toronto F&S,208
10621,Vancouver F&S,60
10623,Atlanta F&S,6000
10623,Baltimore F&S,16210
10623,Edmonton F&S,9945
10623,Fontana,20752
10623,Great Lakes CC,21702
10623,Houston F&S,4243
10623,Linden,1191
10623,Montreal F&S,30000
10623,Sacramento Main,21916
10623,Seattle F&S,26695
10623,Tampa F&S,35000
10623,Toronto F&S,64676
10623,USD Region Offices,47508
10623,Vancouver F&S,8702
10624,Baltimore F&S,10
10624,Edmonton F&S,1017
10624,Fontana,7812
10624,Linden,3990
10624,Sacramento Main,396
10624,Vancouver F&S,7317
10628,Seattle F&S,48
10629,Atlanta F&S,14
10629,Baltimore F&S,4
10629,Houston F&S,27
10629,Linden,3
10629,Sacramento Main,5
10629,Seattle F&S,5
10629,Tampa F&S,2
10629,USD Region Offices,94
10632,Atlanta F&S,500
10632,Fontana,504
10632,Houston F&S,600
10632,Sacramento Main,860
10632,Seattle F&S,679
10632,Tampa F&S,1000
10632,USD Region Offices,950
10634,Atlanta F&S,498
10634,Baltimore F&S,569
10634,Fontana,1134
10634,Great Lakes CC,860
10634,Houston F&S,5758
10634,Linden,1338
10634,Sacramento Main,2947
10634,Seattle F&S,1181
10635,Great Lakes CC,182
10635,Linden,124
10635,Sacramento Main,516
10635,Seattle F&S,362
10636,Toronto F&S,2198
10637,Montreal F&S,100
10637,Toronto F&S,18313
10638,Baltimore F&S,14
10638,Great Lakes CC,1484
10638,Linden,2797
10638,Sacramento Main,8
10659,Linden,206
10659,Sacramento Main,163
10670,Tampa F&S,24
10671,Tampa F&S,6
10678,Linden,192
10679,Linden,3427
10680,Atlanta F&S,98
10680,Baltimore F&S,36
10680,Fontana,322
10680,Great Lakes CC,37
10680,Houston F&S,22
10680,Linden,197
10680,Sacramento Main,179
10680,Seattle F&S,129
10680,Tampa F&S,72
10680,USD Region Offices,46
10681,Atlanta F&S,379
10681,Great Lakes CC,2
10681,Houston F&S,128
10681,Linden,1184
10681,Sacramento Main,494
10681,Seattle F&S,34
10681,Tampa F&S,252
10681,USD Region Offices,700
10682,Atlanta F&S,234
10682,Fontana,6
10682,Great Lakes CC,2
10682,Linden,56
10682,Sacramento Main,328
10682,Tampa F&S,327
10683,Atlanta F&S,16
10683,Baltimore F&S,9
10683,Fontana,13
10683,Great Lakes CC,6
10683,Houston F&S,32
10683,Linden,53
10683,Sacramento Main,36
10683,Seattle F&S,13
10683,Tampa F&S,8
10683,USD Region Offices,16
10684,Atlanta F&S,46
10684,Great Lakes CC,69
10684,Houston F&S,16
10684,Linden,644
10684,Sacramento Main,83
10684,Tampa F&S,80
10684,USD Region Offices,200
10685,Baltimore F&S,246
10685,Linden,1934
10689,USD Region Offices,378
10690,USD Region Offices,220
10691,USD Region Offices,7
10692,Baltimore F&S,1
10692,Houston F&S,8
10692,Linden,6
10692,Sacramento Main,3
10692,Seattle F&S,1
10692,USD Region Offices,15
10694,Baltimore F&S,1
10694,Houston F&S,8
10694,Linden,5
10694,Sacramento Main,3
10694,Seattle F&S,1
10694,USD Region Offices,15
10695,Linden,558
10696,Atlanta F&S,4387
10696,Baltimore F&S,806
10696,Fontana,8089
10696,Great Lakes CC,1127
10696,Houston F&S,2258
10696,Linden,2464
10696,Sacramento Main,5629
10696,Seattle F&S,2979
10696,Tampa F&S,1695
10696,USD Region Offices,1150
10697,Atlanta F&S,44
10697,Fontana,100
10697,Linden,86
10697,Sacramento Main,27
10697,Tampa F&S,4
10697,USD Region Offices,41
1069828,Fontana,200
10699,Sacramento Main,11
10699,Toronto F&S,38
107,Toronto F&S,12
10700,Houston F&S,4
10701,Montreal F&S,610
10702,Seattle F&S,52
10702,USD Region Offices,8
10703,Seattle F&S,52
10703,USD Region Offices,14
10705,Sacramento Main,6
10705,Seattle F&S,24
10706,Seattle F&S,14
10707,Seattle F&S,4
10708,Linden,6
10708,USD Region Offices,160
10710,Atlanta F&S,7
10710,Fontana,5
10710,Great Lakes CC,2
10710,USD Region Offices,13
10712,Atlanta F&S,1
10712,Fontana,2
10712,Sacramento Main,1
10712,USD Region Offices,2
10713,Fontana,358
10713,Linden,76
10714,Tampa F&S,6
10715,Seattle F&S,5
10716,Atlanta F&S,50
10716,Fontana,1
10716,Great Lakes CC,2
10716,Sacramento Main,69
10716,Tampa F&S,2
10716,USD Region Offices,30
10717,Atlanta F&S,6
