ItemCode,InventoryQuantity
525829,7
525840,2
525851,1
526,71
528,584
5282,2486
529,424
5290,569
530,3579
530156,10
531,260
531312,224
531481,82
531551,63
532,1309
5321,8
532188,1
533,680
533561,2
534,466
534040,1
534990,2
535,167
535001,1
535012,1
536,326
537,642
538,807
539,558
540,366
544,613
545,446
546,837
5462,142
5467,2236
547165,1
548023,16
548480,753
55,359
5522,1503
553689,96
56,380
5603,228
562,502
563,387
564,230
565,41
565103,2
565114,1
566,97
566494,7
566509,18
566667,4
567,128
568,10
568081,1
568357,4
569,1537
57,448
570,2409
571,3222
572,1784
573,3124
574,1333
575,314
575603,50
576,636
5764,1746
577,1445
5771,48
5772,2
578,967
579,1288
58,332
580,1470
581,2486
581759US,28
582,224
5821,1064
5822,1064
5824,1015
5825,354
5826,450
5827,498
583,1078
583508,2
583519,66
583520,75
583530,109
584,43
585,1006
5851,684
5852,1541
587,574
587252,1
587377,6
588,10
589,405
59,560
590,312
5901,2
5902,43
5904,44
5906,4264
5907,2526
590725,787
591,1743
592,2006
593,3734
594,3435
595,3402
596,37
597,2457
598,47
599,4747
5X9,695
60,1202
600,22
600016,3
600035,52
600295,148
600300US,2
600304,136
600306,260
600309,175
600310,239
600311,133
600313,176
600320,143
600327,147
600344,215
600365,137
600368,170
600378,124
600386,790
600390,86
600484,550
600494,598
600531,208
600668,71
600669,56
600670,56
600677,15
600678,94
600682,50
600705,62
600709,158
600710,157
600712,113
600719,56
600747,398
600748,60
600814,2
601,2398
601210,1
601225,1194
601227,42
601231,400
601425,80
601445,988
601450,1149
601733,1
602,2
602042,10
6024,286
602401,4
602402,4
602586,310
602596,2570
602667,4
602668,4
602672,2
602676,16
602882,194
602890,123
603,961
603050,62
603067,3894
603074US,12
603123,866
603141,58
603185,263
603226US,36
603235,2448
603235NA34,3533
603237,101
603303,52
603375,242
603379,340
603390,716
603404,456
603432,292
603442,709
603465,180
603609,4
603623,8
604328,2
604720,6
604740,4
604760,4
605,725
605040,4
605120,4
605420,4
606240,2
6071,4
609,620
610,1035
611,788
612,798
6121,172
613,927
614,1268
615,814
616,1514
6161,171447
617,1374
618,1208
619,1350
62,18677
620,2336
621,646
622,1454
623,1415
624,630
6241,3502
6243,6573
6244,6036
6244A,207
6244B,210
6245,33
6246,15
625,768
6253,1629
626,1192
6261,1312
627,1739
6271,1632
628,4608
6281,4
6282,31
6283,29
6284,6
6285,17
6288,23
629,3760
6290,57
